ISO,ID,WRB_H,EDITDATE
"BW",1,"argic horizon","02/07/02 00:00:00"
"BW",1,"ochric horizon","02/07/02 00:00:00"
"BW",2,"ochric horizon","02/07/02 00:00:00"
"BW",2,"vertic horizon","02/07/02 00:00:00"
"BW",3,"argic horizon","02/07/02 00:00:00"
"BW",3,"ochric horizon","02/07/02 00:00:00"
"BW",4,"argic horizon","02/07/02 00:00:00"
"BW",4,"ochric horizon","02/07/02 00:00:00"
"BW",4,"petrocalcic horizon","02/07/02 00:00:00"
"BW",5,"natric horizon","02/07/02 00:00:00"
"BW",5,"ochric horizon","02/07/02 00:00:00"
"BW",6,"argic horizon","02/07/02 00:00:00"
"BW",6,"ochric horizon","02/07/02 00:00:00"
"BW",7,"ochric horizon","02/07/02 00:00:00"
"BW",7,"petroplinthic horizon","02/07/02 00:00:00"
"NL",11,"argic horizon","01/06/03 00:00:00"
"NL",11,"ochric horizon","01/06/03 00:00:00"
