NAME,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LAT,LON,SOURCE,NOTES
ndbnyg.001-,pervious,npv,bark,measured,34.44,-119.8927,asd,urban reflectance spectra from santa barbara
ndbnof.004-,pervious,npv,bark,measured,34.44,-119.8927,asd,urban reflectance spectra from santa barbara
ndbnye.003-,pervious,npv,bark,measured,34.4357,-119.8801,asd,urban reflectance spectra from santa barbara
ndbnye.002-,pervious,npv,bark,measured,34.4357,-119.8801,asd,urban reflectance spectra from santa barbara
ndbnof.003-,pervious,npv,bark,measured,34.44,-119.8927,asd,urban reflectance spectra from santa barbara
ndbnyg.002-,pervious,npv,bark,measured,34.44,-119.8927,asd,urban reflectance spectra from santa barbara
ndbnof.001-,pervious,npv,bark,measured,34.44,-119.8927,asd,urban reflectance spectra from santa barbara
ndbnyg.003-,pervious,npv,bark,measured,34.44,-119.8927,asd,urban reflectance spectra from santa barbara
ndbnye.001-,pervious,npv,bark,measured,34.4357,-119.8801,asd,urban reflectance spectra from santa barbara
ndbnye.004-,pervious,npv,bark,measured,34.4357,-119.8801,asd,urban reflectance spectra from santa barbara
ndbnof.002-,pervious,npv,bark,measured,34.44,-119.8927,asd,urban reflectance spectra from santa barbara
ndbnye.009-,pervious,npv,bark,measured,34.4399,-119.8927,asd,urban reflectance spectra from santa barbara
ndbnye.012-,pervious,npv,bark,measured,34.4399,-119.8927,asd,urban reflectance spectra from santa barbara
ndbnye.005-,pervious,npv,bark,measured,34.4399,-119.8927,asd,urban reflectance spectra from santa barbara
ndbnye.010-,pervious,npv,bark,measured,34.4399,-119.8927,asd,urban reflectance spectra from santa barbara
ndbnye.007-,pervious,npv,bark,measured,34.4399,-119.8927,asd,urban reflectance spectra from santa barbara
ndbnye.011-,pervious,npv,bark,measured,34.4399,-119.8927,asd,urban reflectance spectra from santa barbara
ndbnye.006-,pervious,npv,bark,measured,34.4399,-119.8927,asd,urban reflectance spectra from santa barbara
ndbnye.008-,pervious,npv,bark,measured,34.4399,-119.8927,asd,urban reflectance spectra from santa barbara
ndbnmm.001-,pervious,npv,bark,measured,34.4483,-119.8191,asd,urban reflectance spectra from santa barbara
ndbnye.014-,pervious,npv,bark,measured,34.4399,-119.8927,asd,urban reflectance spectra from santa barbara
ndbnye.013-,pervious,npv,bark,measured,34.4399,-119.8927,asd,urban reflectance spectra from santa barbara
ndbnmm.002-,pervious,npv,bark,measured,34.4483,-119.8191,asd,urban reflectance spectra from santa barbara
ndbnmm.004-,pervious,npv,bark,measured,34.4483,-119.8191,asd,urban reflectance spectra from santa barbara
ndbnmm.003-,pervious,npv,bark,measured,34.4483,-119.8191,asd,urban reflectance spectra from santa barbara
nnpnxx.001-,pervious,npv,litter,measured,34.4003,-119.7311,asd,urban reflectance spectra from santa barbara
nnpnxx.002-,pervious,npv,litter,measured,34.4003,-119.7311,asd,urban reflectance spectra from santa barbara
nnpnxx.003-,pervious,npv,litter,measured,34.4003,-119.7311,asd,urban reflectance spectra from santa barbara
nnpnxx.004-,pervious,npv,litter,measured,34.4003,-119.7311,asd,urban reflectance spectra from santa barbara
nnpnxx.006-,pervious,npv,litter,measured,34.4003,-119.7311,asd,urban reflectance spectra from santa barbara
nnpnxx.005-,pervious,npv,litter,measured,34.4003,-119.7311,asd,urban reflectance spectra from santa barbara
ndwnyg.001-,pervious,npv,wood,measured,34.4483,-119.8191,asd,urban reflectance spectra from santa barbara
ndwnyg.004-,pervious,npv,wood,measured,34.4483,-119.8191,asd,urban reflectance spectra from santa barbara
ndwnyg.002-,pervious,npv,wood,measured,34.4483,-119.8191,asd,urban reflectance spectra from santa barbara
ndwnyg.003-,pervious,npv,wood,measured,34.4483,-119.8191,asd,urban reflectance spectra from santa barbara
ndwnmf.005-,pervious,npv,wood,measured,34.4574,-119.823,asd,urban reflectance spectra from santa barbara
ndwnmf.007-,pervious,npv,wood,measured,34.4574,-119.823,asd,urban reflectance spectra from santa barbara
ndwnmf.001-,pervious,npv,wood,measured,34.4574,-119.823,asd,urban reflectance spectra from santa barbara
ndwnmf.008-,pervious,npv,wood,measured,34.4574,-119.823,asd,urban reflectance spectra from santa barbara
ndwnmf.002-,pervious,npv,wood,measured,34.4574,-119.823,asd,urban reflectance spectra from santa barbara
ndwnmf.006-,pervious,npv,wood,measured,34.4574,-119.823,asd,urban reflectance spectra from santa barbara
ndwnof.001-,pervious,npv,wood,measured,34.4156,-119.8453,asd,urban reflectance spectra from santa barbara
ndwnmf.004-,pervious,npv,wood,measured,34.4574,-119.823,asd,urban reflectance spectra from santa barbara
ndwnof.002-,pervious,npv,wood,measured,34.4156,-119.8453,asd,urban reflectance spectra from santa barbara
ndwnmf.003-,pervious,npv,wood,measured,34.4574,-119.823,asd,urban reflectance spectra from santa barbara
ndwnmm.005-,pervious,npv,wood,measured,34.4358,-119.8804,asd,urban reflectance spectra from santa barbara
ndwnmm.003-,pervious,npv,wood,measured,34.4358,-119.8804,asd,urban reflectance spectra from santa barbara
ndwnmm.004-,pervious,npv,wood,measured,34.4358,-119.8804,asd,urban reflectance spectra from santa barbara
ndwnmm.002-,pervious,npv,wood,measured,34.4358,-119.8804,asd,urban reflectance spectra from santa barbara
ndwnmm.001-,pervious,npv,wood,measured,34.4358,-119.8804,asd,urban reflectance spectra from santa barbara
